"Date","Qobs"
2020-09-30,0.07
2020-10-01,0.02
2020-10-02,0.01
2020-10-03,0.01
2020-10-04,0.01
2020-10-05,0.02
2020-10-06,0.02
2020-10-07,0.02
2020-10-08,0.02
2020-10-09,0.01
2020-10-10,0.02
2020-10-11,0.01
2020-10-12,0.02
2020-10-13,0.16
2020-10-14,0.12
2020-10-15,0.06
2020-10-16,0.09
2020-10-17,1.14
2020-10-18,1.05
2020-10-19,0.59
2020-10-20,0.44
2020-10-21,0.34
2020-10-22,0.3
2020-10-23,0.24
2020-10-24,0.2
2020-10-25,0.17
2020-10-26,0.16
2020-10-27,0.15
2020-10-28,0.26
2020-10-29,1.1
2020-10-30,3.17
2020-10-31,1.48
2020-11-01,1.58
2020-11-02,2.95
2020-11-03,1.38
2020-11-04,0.86
2020-11-05,0.68
2020-11-06,0.58
2020-11-07,0.54
2020-11-08,0.5
2020-11-09,0.46
2020-11-10,0.48
2020-11-11,0.55
2020-11-12,0.8
2020-11-13,0.98
2020-11-14,0.88
2020-11-15,0.86
2020-11-16,2.78
2020-11-17,1.54
2020-11-18,0.96
2020-11-19,0.76
2020-11-20,1.57
2020-11-21,1.27
2020-11-22,1.31
2020-11-23,17.8
2020-11-24,14.5
2020-11-25,9.81
2020-11-26,8.29
2020-11-27,9.37
2020-11-28,6.93
2020-11-29,4.23
2020-11-30,12.2
2020-12-01,49
2020-12-02,18.7
2020-12-03,10
2020-12-04,5.51
2020-12-05,34
2020-12-06,50.7
2020-12-07,20
2020-12-08,10.3
2020-12-09,7.07
2020-12-10,4.89
2020-12-11,4.5
2020-12-12,5.85
2020-12-13,11.2
2020-12-14,8.46
2020-12-15,7.37
2020-12-16,5.45
2020-12-17,12
2020-12-18,4.25
2020-12-19,3.98
2020-12-20,3.15
2020-12-21,3.05
2020-12-22,3.12
2020-12-23,3.07
2020-12-24,4.33
2020-12-25,102
2020-12-26,62.7
2020-12-27,27.2
2020-12-28,16.6
2020-12-29,11.8
2020-12-30,10.7
2020-12-31,10.9
