"Date","Qobs"
2020-02-21,3.92
2020-02-22,3.24
2020-02-23,3.33
2020-02-24,3.64
2020-02-25,4.48
2020-02-26,6.53
2020-02-27,29.6
2020-02-28,12
2020-02-29,8.15
2020-03-01,7.37
2020-03-02,7.28
2020-03-03,10.6
2020-03-04,13.8
2020-03-05,9.89
2020-03-06,8.98
2020-03-07,8.17
2020-03-08,7.63
2020-03-09,8.26
2020-03-10,9.49
2020-03-11,9.1
2020-03-12,7.84
2020-03-13,13.3
2020-03-14,10.1
2020-03-15,8.34
2020-03-16,7.49
2020-03-17,7.54
2020-03-18,7.04
2020-03-19,13.1
2020-03-20,9.31
2020-03-21,7.46
2020-03-22,6.51
2020-03-23,6.46
2020-03-24,8.16
2020-03-25,7.6
2020-03-26,8.11
2020-03-27,11.9
2020-03-28,11.3
2020-03-29,28.5
2020-03-30,21.9
2020-03-31,14.9
2020-04-01,12.1
2020-04-02,10.8
2020-04-03,12
2020-04-04,11
2020-04-05,9.71
2020-04-06,8.86
2020-04-07,8.16
2020-04-08,8.33
2020-04-09,12.8
2020-04-10,11.1
2020-04-11,8.66
2020-04-12,7.76
2020-04-13,24.3
2020-04-14,17.3
2020-04-15,11.8
2020-04-16,10.2
2020-04-17,9.4
2020-04-18,10.6
2020-04-19,11.2
2020-04-20,9.88
2020-04-21,11.1
2020-04-22,10
2020-04-23,8.54
2020-04-24,8.41
2020-04-25,7.67
2020-04-26,7.6
2020-04-27,11.7
2020-04-28,10.1
2020-04-29,8.08
2020-04-30,12.8
2020-05-01,53.1
2020-05-02,25.1
2020-05-03,16.6
2020-05-04,13.9
2020-05-05,12.2
2020-05-06,11.2
2020-05-07,10.4
2020-05-08,9.57
2020-05-09,9.37
2020-05-10,8.27
2020-05-11,8.29
2020-05-12,7.7
2020-05-13,6.96
2020-05-14,6.45
2020-05-15,6.68
2020-05-16,7.32
2020-05-17,6.05
2020-05-18,5.63
2020-05-19,5.16
2020-05-20,4.66
2020-05-21,4.33
2020-05-22,4.14
2020-05-23,3.83
2020-05-24,3.43
2020-05-25,3.39
2020-05-26,3.38
2020-05-27,3.07
2020-05-28,2.89
2020-05-29,2.99
2020-05-30,2.62
2020-05-31,2.23
2020-06-01,2.1
2020-06-02,2.1
2020-06-03,2.08
2020-06-04,1.93
2020-06-05,1.86
2020-06-06,1.79
2020-06-07,1.56
2020-06-08,1.46
2020-06-09,1.33
2020-06-10,1.28
2020-06-11,1.92
2020-06-12,1.7
2020-06-13,1.25
2020-06-14,1.12
2020-06-15,1.08
2020-06-16,1.01
2020-06-17,0.95
2020-06-18,0.92
2020-06-19,0.88
2020-06-20,0.86
2020-06-21,0.85
2020-06-22,0.78
2020-06-23,0.74
2020-06-24,0.73
2020-06-25,0.65
2020-06-26,0.6
2020-06-27,0.65
2020-06-28,0.79
2020-06-29,1.37
2020-06-30,1.23
2020-07-01,1.29
2020-07-02,0.93
2020-07-03,3.4
2020-07-04,2.26
2020-07-05,1.21
2020-07-06,0.9
2020-07-07,0.79
2020-07-08,0.78
2020-07-09,8.85
2020-07-10,6.31
2020-07-11,5.9
2020-07-12,2.47
2020-07-13,1.53
2020-07-14,1.3
2020-07-15,1.27
2020-07-16,1.04
2020-07-17,2.15
2020-07-18,1.46
2020-07-19,1.08
2020-07-20,0.9
2020-07-21,0.78
2020-07-22,1.14
2020-07-23,1.84
2020-07-24,1.22
2020-07-25,0.91
2020-07-26,0.76
2020-07-27,0.68
2020-07-28,0.61
2020-07-29,0.56
2020-07-30,0.61
2020-07-31,0.55
2020-08-01,0.49
2020-08-02,0.55
2020-08-03,0.62
2020-08-04,1.79
2020-08-05,1.63
2020-08-06,0.88
2020-08-07,0.73
2020-08-08,0.65
2020-08-09,0.6
2020-08-10,0.55
2020-08-11,0.51
2020-08-12,0.52
2020-08-13,0.45
2020-08-14,0.44
2020-08-15,0.42
2020-08-16,0.43
2020-08-17,0.44
2020-08-18,0.41
2020-08-19,0.37
2020-08-20,0.36
2020-08-21,0.36
2020-08-22,0.35
2020-08-23,0.35
2020-08-24,0.36
2020-08-25,0.36
2020-08-26,0.33
2020-08-27,1.16
2020-08-28,0.71
2020-08-29,1.65
2020-08-30,0.96
2020-08-31,0.6
2020-09-01,0.55
2020-09-02,0.77
2020-09-03,2.26
2020-09-04,0.94
2020-09-05,0.62
2020-09-06,0.53
2020-09-07,0.49
2020-09-08,0.48
2020-09-09,0.46
2020-09-10,2.05
2020-09-11,1.38
2020-09-12,0.8
2020-09-13,0.67
2020-09-14,0.62
2020-09-15,0.53
2020-09-16,0.52
2020-09-17,0.51
2020-09-18,0.5
2020-09-19,0.47
2020-09-20,0.46
2020-09-21,0.45
2020-09-22,0.46
2020-09-23,0.5
2020-09-24,0.55
2020-09-25,0.59
2020-09-26,0.64
2020-09-27,0.71
2020-09-28,0.99
2020-09-29,1.13
2020-09-30,5.51
2020-10-01,1.51
2020-10-02,1.04
2020-10-03,0.89
2020-10-04,0.74
2020-10-05,0.67
2020-10-06,0.69
2020-10-07,0.76
2020-10-08,0.84
2020-10-09,0.78
2020-10-10,0.82
2020-10-11,0.91
2020-10-12,0.9
2020-10-13,4.53
2020-10-14,2.44
2020-10-15,1.36
2020-10-16,2
2020-10-17,8.56
2020-10-18,2.52
2020-10-19,1.69
2020-10-20,1.41
2020-10-21,1.29
2020-10-22,1.16
2020-10-23,1.07
2020-10-24,1.09
2020-10-25,1.03
2020-10-26,1.14
2020-10-27,1.24
2020-10-28,1.78
2020-10-29,3.35
2020-10-30,6.67
2020-10-31,3.04
2020-11-01,2.89
2020-11-02,3.67
2020-11-03,2.47
2020-11-04,2.05
2020-11-05,1.86
2020-11-06,1.72
2020-11-07,1.61
2020-11-08,1.51
2020-11-09,1.41
2020-11-10,1.4
2020-11-11,1.41
2020-11-12,1.5
2020-11-13,1.56
2020-11-14,1.67
2020-11-15,1.89
2020-11-16,5.61
2020-11-17,2.69
2020-11-18,2.15
2020-11-19,1.9
2020-11-20,1.98
2020-11-21,1.9
2020-11-22,1.76
2020-11-23,3.69
2020-11-24,2.86
2020-11-25,2.28
2020-11-26,7.48
2020-11-27,5.25
2020-11-28,3.86
2020-11-29,3.27
2020-11-30,36.5
2020-12-01,31.2
2020-12-02,11.9
2020-12-03,9.24
2020-12-04,8.07
2020-12-05,14.2
2020-12-06,11.9
2020-12-07,8.81
2020-12-08,7.68
2020-12-09,7.04
2020-12-10,6.77
2020-12-11,6.36
2020-12-12,6.37
2020-12-13,7.84
2020-12-14,6.75
2020-12-15,5.96
2020-12-16,5.65
2020-12-17,5.49
2020-12-18,5.34
2020-12-19,5.22
2020-12-20,5.13
2020-12-21,5.2
2020-12-22,5.08
2020-12-23,4.76
2020-12-24,7.71
2020-12-25,137
2020-12-26,34.1
2020-12-27,19.6
2020-12-28,16.3
2020-12-29,13.9
2020-12-30,12
2020-12-31,14.4
