"Date","Qobs"
2009-09-30,0.4
2009-10-01,0.47
2009-10-02,0.47
2009-10-03,1.64
2009-10-04,0.87
2009-10-05,0.65
2009-10-06,0.57
2009-10-07,1.15
2009-10-08,0.72
2009-10-09,0.63
2009-10-10,0.71
2009-10-11,0.59
2009-10-12,0.57
2009-10-13,0.57
2009-10-14,0.56
2009-10-15,0.58
2009-10-16,0.75
2009-10-17,0.62
2009-10-18,1.2
2009-10-19,1.09
2009-10-20,0.75
2009-10-21,0.7
2009-10-22,0.67
2009-10-23,0.63
2009-10-24,1.2
2009-10-25,3.53
2009-10-26,1.03
2009-10-27,0.9
2009-10-28,1.5
2009-10-29,1.43
2009-10-30,0.99
2009-10-31,0.96
2009-11-01,1.01
2009-11-02,0.9
2009-11-03,0.86
2009-11-04,0.81
2009-11-05,0.8
2009-11-06,0.81
2009-11-07,0.76
2009-11-08,0.76
2009-11-09,0.75
2009-11-10,0.75
2009-11-11,0.73
2009-11-12,0.75
2009-11-13,0.76
2009-11-14,4.08
2009-11-15,2.34
2009-11-16,1.32
2009-11-17,1.13
2009-11-18,1.07
2009-11-19,1.06
2009-11-20,2.28
2009-11-21,1.4
2009-11-22,1.19
2009-11-23,1.21
2009-11-24,1.4
2009-11-25,1.2
2009-11-26,1.19
2009-11-27,1.87
2009-11-28,1.5
2009-11-29,1.23
2009-11-30,1.33
2009-12-01,1.31
2009-12-02,1.17
2009-12-03,4.89
2009-12-04,1.89
2009-12-05,1.81
2009-12-06,1.91
2009-12-07,1.62
2009-12-08,1.55
2009-12-09,2.28
2009-12-10,2.33
2009-12-11,1.68
2009-12-12,1.45
2009-12-13,2.26
2009-12-14,3.11
2009-12-15,2.1
2009-12-16,1.82
2009-12-17,1.6
2009-12-18,1.44
2009-12-19,1.5
2009-12-20,1.56
2009-12-21,1.59
2009-12-22,1.49
2009-12-23,1.43
2009-12-24,1.39
2009-12-25,1.37
2009-12-26,1.45
2009-12-27,6.76
2009-12-28,2.59
2009-12-29,1.93
2009-12-30,1.64
2009-12-31,1.81
2010-01-01,1.87
2010-01-02,1.85
2010-01-03,1.73
2010-01-04,1.64
2010-01-05,1.58
2010-01-06,1.52
2010-01-07,1.48
2010-01-08,1.44
2010-01-09,1.39
2010-01-10,1.31
2010-01-11,1.29
2010-01-12,1.31
2010-01-13,1.25
2010-01-14,1.25
2010-01-15,1.27
2010-01-16,1.28
2010-01-17,1.38
2010-01-18,4.06
2010-01-19,2.06
2010-01-20,1.92
2010-01-21,1.58
2010-01-22,1.45
2010-01-23,1.35
2010-01-24,1.31
2010-01-25,7.18
2010-01-26,3.44
2010-01-27,2.24
2010-01-28,2.08
2010-01-29,1.81
2010-01-30,1.64
2010-01-31,1.69
2010-02-01,1.64
2010-02-02,1.6
2010-02-03,1.58
2010-02-04,1.53
2010-02-05,1.47
2010-02-06,1.44
2010-02-07,1.34
2010-02-08,1.32
2010-02-09,1.31
2010-02-10,1.41
2010-02-11,1.38
2010-02-12,1.31
2010-02-13,1.3
2010-02-14,1.28
2010-02-15,1.26
2010-02-16,1.29
2010-02-17,1.25
2010-02-18,1.26
2010-02-19,1.24
2010-02-20,1.25
2010-02-21,1.24
2010-02-22,1.23
2010-02-23,1.27
2010-02-24,7.62
2010-02-25,6.02
2010-02-26,6.3
2010-02-27,3.12
2010-02-28,2.65
2010-03-01,2.81
2010-03-02,2.66
2010-03-03,2.54
2010-03-04,2.33
2010-03-05,2.22
2010-03-06,2.02
2010-03-07,1.94
2010-03-08,1.9
2010-03-09,1.82
2010-03-10,1.73
2010-03-11,1.72
2010-03-12,1.65
2010-03-13,5.35
2010-03-14,20
2010-03-15,9.72
2010-03-16,6.13
2010-03-17,4.82
2010-03-18,4.03
2010-03-19,3.56
2010-03-20,3.23
2010-03-21,2.96
2010-03-22,2.87
2010-03-23,12.6
2010-03-24,6.61
2010-03-25,4.44
2010-03-26,4.62
2010-03-27,3.51
2010-03-28,3.27
2010-03-29,16.2
2010-03-30,36.5
2010-03-31,16.2
2010-04-01,9.23
2010-04-02,7.25
2010-04-03,6.27
2010-04-04,6.18
2010-04-05,5.29
2010-04-06,4.71
2010-04-07,4.38
2010-04-08,4.11
2010-04-09,5.37
2010-04-10,4.42
2010-04-11,3.78
2010-04-12,3.54
2010-04-13,3.42
2010-04-14,3.3
2010-04-15,3.17
