"Date","Qobs"
2008-10-01,15
2008-10-02,9
2008-10-03,6.8
2008-10-04,5.7
2008-10-05,5
2008-10-06,4.6
2008-10-07,3.8
2008-10-08,3.3
2008-10-09,3.4
2008-10-10,3.3
2008-10-11,3.1
2008-10-12,2.7
2008-10-13,2.5
2008-10-14,2.4
2008-10-15,2.4
2008-10-16,2.5
2008-10-17,2.2
2008-10-18,2.1
2008-10-19,2
2008-10-20,2
2008-10-21,2.2
2008-10-22,2.4
2008-10-23,2.4
2008-10-24,2.2
2008-10-25,2.3
2008-10-26,11
2008-10-27,10
2008-10-28,9
2008-10-29,11
2008-10-30,8.6
2008-10-31,6.7
2008-11-01,5.6
2008-11-02,4.9
2008-11-03,4.4
2008-11-04,4.5
2008-11-05,4.4
2008-11-06,10.8
2008-11-07,18
2008-11-08,12
2008-11-09,9.6
2008-11-10,7.3
2008-11-11,6
2008-11-12,5.5
2008-11-13,4.9
2008-11-14,5.4
2008-11-15,7.2
2008-11-16,16
2008-11-17,14
2008-11-18,9.8
2008-11-19,8
2008-11-20,6.5
2008-11-21,7
2008-11-22,6
2008-11-23,5.2
2008-11-24,4.9
2008-11-25,33
2008-11-26,42
2008-11-27,20
2008-11-28,14
2008-11-29,11
2008-11-30,11
2008-12-01,29
2008-12-02,22
2008-12-03,15
2008-12-04,12
2008-12-05,11
2008-12-06,9.1
2008-12-07,8.7
2008-12-08,7.6
2008-12-09,7.1
2008-12-10,12.6
2008-12-11,27
2008-12-12,277
2008-12-13,93
2008-12-14,55
2008-12-15,45
2008-12-16,41
2008-12-17,38
2008-12-18,37
2008-12-19,32
2008-12-20,31
2008-12-21,29
2008-12-22,30
2008-12-23,28
2008-12-24,27
2008-12-25,93
2008-12-26,56
2008-12-27,41
2008-12-28,47
2008-12-29,40
2008-12-30,32
2008-12-31,23
2009-01-01,19
2009-01-02,18
2009-01-03,17
2009-01-04,15
2009-01-05,15
2009-01-06,15
2009-01-07,17
2009-01-08,25
2009-01-09,22
2009-01-10,19
2009-01-11,18
2009-01-12,16
2009-01-13,15
2009-01-14,14
2009-01-15,13
2009-01-16,12
2009-01-17,11
2009-01-18,11
2009-01-19,12
2009-01-20,12
2009-01-21,12
2009-01-22,12
2009-01-23,11
2009-01-24,11
2009-01-25,10
2009-01-26,10
2009-01-27,10
2009-01-28,13
2009-01-29,17
2009-01-30,17
2009-01-31,14
2009-02-01,13
2009-02-02,12
2009-02-03,12
2009-02-04,12
2009-02-05,14.1
2009-02-06,11.8
2009-02-07,9.87
2009-02-08,12.2
2009-02-09,16.2
2009-02-10,14.7
2009-02-11,13.8
2009-02-12,36.5
2009-02-13,70.1
2009-02-14,46.8
2009-02-15,27.5
2009-02-16,19
2009-02-17,15.4
2009-02-18,13.3
2009-02-19,20.4
2009-02-20,37.5
2009-02-21,29
2009-02-22,24.7
2009-02-23,53.3
2009-02-24,45.7
2009-02-25,27.7
2009-02-26,19.2
2009-02-27,19.2
2009-02-28,43.4
2009-03-01,45.1
2009-03-02,30.2
2009-03-03,26.2
2009-03-04,20.2
2009-03-05,16.5
2009-03-06,16.7
2009-03-07,25
2009-03-08,48.6
2009-03-09,75.7
2009-03-10,86.9
2009-03-11,55.6
2009-03-12,42.2
2009-03-13,30.5
2009-03-14,23.5
2009-03-15,20.3
2009-03-16,17.8
2009-03-17,15.6
2009-03-18,14.3
2009-03-19,13.7
2009-03-20,13.6
2009-03-21,12.3
2009-03-22,11.2
2009-03-23,9.96
2009-03-24,9.13
2009-03-25,8.9
